iter	Passed	Remaining
430	1732	2286
431	1735	2282
432	1739	2278
433	1743	2274
434	1747	2270
435	1751	2265
436	1755	2261
437	1759	2257
438	1763	2253
439	1767	2249
440	1771	2245
441	1775	2241
442	1779	2238
443	1783	2233
444	1787	2229
445	1791	2225
446	1796	2221
447	1799	2217
448	1803	2213
449	1807	2209
450	1811	2205
451	1815	2201
452	1819	2197
453	1824	2193
454	1828	2189
455	1832	2185
456	1836	2181
457	1839	2177
458	1843	2172
459	1847	2169
460	1851	2165
461	1855	2161
462	1859	2156
463	1863	2152
464	1867	2149
465	1872	2145
466	1876	2141
467	1880	2137
468	1884	2133
469	1888	2129
470	1892	2125
471	1896	2121
472	1900	2117
473	1904	2113
474	1908	2109
475	1912	2105
476	1916	2101
477	1921	2098
478	1925	2093
479	1929	2089
480	1933	2085
481	1936	2081
482	1940	2077
483	1944	2073
484	1948	2069
485	1953	2065
486	1957	2061
487	1961	2057
488	1965	2054
489	1970	2050
490	1974	2047
491	1978	2043
492	1982	2039
493	1987	2035
494	1991	2031
495	1995	2027
496	1999	2023
497	2004	2020
498	2008	2016
499	2012	2012
500	2016	2008
501	2019	2003
502	2023	1999
503	2027	1995
504	2032	1991
505	2036	1987
506	2040	1983
507	2043	1979
508	2047	1975
509	2051	1971
510	2055	1967
511	2059	1963
512	2063	1959
513	2068	1955
514	2072	1951
515	2076	1947
516	2080	1943
517	2084	1939
518	2088	1935
519	2092	1931
520	2096	1927
521	2101	1924
522	2105	1920
523	2109	1916
524	2113	1912
525	2118	1908
526	2122	1904
527	2126	1900
528	2130	1896
529	2134	1893
530	2138	1888
531	2142	1885
532	2147	1881
533	2151	1877
534	2155	1873
535	2159	1869
536	2163	1865
537	2167	1861
538	2172	1857
539	2176	1853
540	2180	1849
541	2184	1845
542	2188	1841
543	2192	1837
544	2196	1833
545	2200	1829
546	2204	1825
547	2208	1821
548	2213	1818
549	2217	1814
550	2221	1810
551	2225	1806
552	2229	1802
553	2233	1798
554	2237	1794
555	2241	1790
556	2245	1786
557	2249	1782
558	2253	1778
559	2258	1774
560	2262	1770
561	2266	1766
562	2270	1762
563	2275	1759
564	2279	1755
565	2283	1750
566	2287	1746
567	2291	1742
568	2295	1738
569	2299	1734
570	2303	1730
571	2308	1727
572	2312	1723
573	2316	1719
574	2320	1715
575	2324	1711
576	2328	1707
577	2332	1703
578	2337	1699
579	2341	1695
580	2345	1691
581	2349	1687
582	2353	1683
583	2357	1679
584	2362	1675
585	2366	1671
586	2370	1667
587	2374	1663
588	2378	1659
589	2382	1655
590	2386	1651
591	2390	1647
592	2394	1643
593	2398	1639
594	2402	1635
595	2407	1631
596	2411	1627
597	2415	1623
598	2419	1619
599	2423	1615
600	2427	1611
601	2431	1607
602	2435	1603
603	2439	1599
604	2444	1595
605	2448	1592
606	2452	1588
607	2456	1584
608	2461	1580
609	2465	1576
610	2469	1572
611	2473	1568
612	2477	1563
613	2481	1559
614	2485	1555
615	2489	1552
616	2496	1549
617	2500	1545
618	2504	1541
619	2508	1537
620	2512	1533
621	2516	1529
622	2520	1525
623	2524	1521
624	2528	1517
625	2532	1513
626	2536	1509
627	2540	1505
628	2545	1501
629	2549	1497
630	2553	1493
631	2557	1489
632	2561	1485
633	2565	1480
634	2569	1476
635	2573	1472
636	2577	1468
637	2581	1464
638	2585	1460
639	2588	1456
640	2593	1452
641	2597	1448
642	2601	1444
643	2605	1440
644	2609	1436
645	2613	1432
646	2617	1427
647	2621	1423
648	2625	1419
649	2629	1415
650	2633	1411
651	2638	1408
652	2643	1404
653	2648	1400
654	2652	1396
655	2656	1393
656	2661	1389
657	2665	1385
658	2669	1381
659	2673	1377
660	2677	1373
661	2681	1368
662	2685	1365
663	2689	1361
664	2694	1357
665	2698	1353
666	2702	1349
667	2706	1345
668	2710	1341
669	2714	1337
670	2718	1333
671	2722	1329
672	2727	1325
673	2731	1320
674	2735	1316
675	2739	1313
676	2743	1308
677	2747	1304
678	2751	1300
679	2755	1296
680	2759	1292
681	2763	1288
682	2767	1284
683	2771	1280
684	2775	1276
685	2779	1272
686	2783	1268
687	2787	1264
688	2791	1260
689	2795	1256
690	2799	1252
691	2804	1248
692	2807	1243
693	2811	1239
694	2816	1235
695	2819	1231
696	2823	1227
697	2828	1223
698	2832	1219
699	2837	1216
700	2841	1211
701	2845	1208
702	2850	1204
703	2854	1199
704	2858	1196
705	2862	1192
706	2866	1188
707	2870	1184
708	2875	1180
709	2880	1176
710	2884	1172
711	2888	1168
712	2892	1164
713	2897	1160
714	2901	1156
715	2905	1152
716	2909	1148
717	2913	1144
718	2917	1140
719	2921	1136
720	2925	1132
721	2929	1128
722	2933	1124
723	2937	1119
724	2941	1115
725	2945	1111
726	2949	1107
727	2953	1103
728	2957	1099
729	2962	1095
730	2966	1091
731	2970	1087
732	2974	1083
733	2978	1079
734	2982	1075
735	2986	1071
