iter	RMSE
206	1316.373414
207	1316.322323
208	1316.260689
209	1316.188258
210	1316.116778
211	1316.079068
212	1316.029496
213	1315.989787
214	1315.934517
215	1315.910219
216	1315.875656
217	1315.832667
218	1315.79222
219	1315.747041
220	1315.72703
221	1315.668142
222	1315.639761
223	1315.580819
224	1315.509573
225	1315.445541
226	1315.394274
227	1315.350421
228	1315.308083
229	1315.26864
230	1315.228355
231	1315.193142
232	1315.14904
233	1315.100705
234	1315.047385
235	1314.999491
236	1314.947693
237	1314.912312
238	1314.876968
239	1314.841656
240	1314.813215
241	1314.752232
242	1314.69774
243	1314.65281
244	1314.601037
245	1314.560542
246	1314.488739
247	1314.457818
248	1314.402589
249	1314.366897
250	1314.331643
251	1314.292714
252	1314.228414
253	1314.177086
254	1314.144134
255	1314.104153
256	1314.046079
257	1313.971331
258	1313.93728
259	1313.887086
260	1313.851112
261	1313.824405
262	1313.780519
263	1313.740874
264	1313.696427
265	1313.661061
266	1313.627718
267	1313.584021
268	1313.537853
269	1313.499055
270	1313.469899
271	1313.440188
272	1313.397009
273	1313.371037
274	1313.331463
275	1313.296274
276	1313.26946
277	1313.231669
278	1313.217627
279	1313.164003
280	1313.132936
281	1313.073912
282	1313.023379
283	1312.972502
284	1312.933209
285	1312.884043
286	1312.831383
287	1312.771368
288	1312.725145
289	1312.679049
290	1312.653576
291	1312.598972
292	1312.57327
293	1312.532655
294	1312.491295
295	1312.453692
296	1312.401734
297	1312.376559
298	1312.346003
299	1312.305597
300	1312.259334
301	1312.226824
302	1312.187782
303	1312.154862
304	1312.118748
305	1312.087033
306	1312.057761
307	1312.036985
308	1311.99727
309	1311.943022
310	1311.905301
311	1311.869975
312	1311.853571
313	1311.820727
314	1311.795663
315	1311.743045
316	1311.722373
317	1311.68577
318	1311.649608
319	1311.620511
320	1311.578651
321	1311.545224
322	1311.517593
323	1311.491618
324	1311.454541
325	1311.421767
326	1311.375279
327	1311.360147
328	1311.3307
329	1311.278828
330	1311.231272
331	1311.210483
332	1311.182708
333	1311.116605
334	1311.070312
335	1311.027731
336	1310.983219
337	1310.943566
338	1310.910817
339	1310.890972
340	1310.850744
341	1310.832438
342	1310.809026
343	1310.756603
344	1310.718581
345	1310.675585
346	1310.628338
347	1310.582553
348	1310.555629
349	1310.50596
350	1310.47524
351	1310.442919
352	1310.413726
353	1310.375861
354	1310.314171
355	1310.276895
356	1310.249093
357	1310.208999
358	1310.177604
359	1310.154302
360	1310.120452
361	1310.086646
362	1310.05075
363	1310.031485
364	1309.995062
365	1309.963929
366	1309.929609
367	1309.903478
368	1309.854489
369	1309.826268
370	1309.795689
371	1309.763642
372	1309.712928
373	1309.680051
374	1309.655139
375	1309.623727
376	1309.60039
377	1309.573446
378	1309.545808
379	1309.5078
380	1309.471556
381	1309.430765
382	1309.396582
383	1309.360485
384	1309.340914
385	1309.314314
386	1309.26543
387	1309.225224
388	1309.193519
389	1309.168362
390	1309.132293
391	1309.074981
392	1309.038073
393	1309.020062
394	1308.990764
395	1308.951211
396	1308.907576
397	1308.873367
398	1308.850917
399	1308.83109
400	1308.800317
401	1308.781544
402	1308.745471
403	1308.719772
404	1308.700373
405	1308.673045
406	1308.632415
407	1308.603698
408	1308.547107
409	1308.494885
410	1308.46456
411	1308.437252
412	1308.41625
413	1308.387742
414	1308.357888
415	1308.325201
416	1308.284971
417	1308.265301
418	1308.236862
419	1308.194374
420	1308.165487
421	1308.136783
422	1308.096913
423	1308.069824
424	1308.035433
425	1307.996241
426	1307.972091
427	1307.949406
428	1307.919949
429	1307.881856
430	1307.849407
431	1307.820123
432	1307.75674
433	1307.723692
434	1307.696462
435	1307.673567
436	1307.629684
437	1307.603911
438	1307.555296
439	1307.519686
440	1307.485842
441	1307.463231
442	1307.44295
443	1307.406515
444	1307.372503
445	1307.334923
446	1307.314822
447	1307.292858
448	1307.269595
449	1307.238806
450	1307.214218
451	1307.190705
452	1307.1694
453	1307.138354
454	1307.116673
455	1307.100501
456	1307.058728
457	1307.033396
458	1306.984425
459	1306.949106
460	1306.920079
461	1306.886669
462	1306.876968
463	1306.863831
464	1306.827085
465	1306.794983
466	1306.762505
467	1306.744025
468	1306.700884
469	1306.675524
470	1306.641213
471	1306.608317
472	1306.587386
473	1306.572682
474	1306.545195
475	1306.512415
476	1306.484238
477	1306.461967
478	1306.447511
479	1306.411398
480	1306.387722
481	1306.34631
482	1306.325943
483	1306.311747
484	1306.268366
485	1306.239052
486	1306.20457
487	1306.174018
488	1306.151804
489	1306.12399
490	1306.107251
491	1306.076852
492	1306.036686
493	1306.012514
494	1305.982709
495	1305.962196
496	1305.93901
497	1305.921049
498	1305.890689
499	1305.87699
500	1305.843427
501	1305.827711
502	1305.797908
503	1305.755988
504	1305.723417
505	1305.690379
506	1305.668132
507	1305.650807
508	1305.629275
509	1305.598784
510	1305.563253
511	1305.538381
512	1305.497502
513	1305.448885
514	1305.414662
515	1305.389887
516	1305.347076
517	1305.321273
518	1305.292546
519	1305.259517
520	1305.221771
521	1305.177698
522	1305.158748
523	1305.12998
524	1305.095682
525	1305.0595
526	1305.030049
527	1305.004902
528	1304.971038
529	1304.956507
530	1304.905976
531	1304.88504
532	1304.856973
533	1304.810613
534	1304.782972
535	1304.759644
536	1304.737353
537	1304.706843
538	1304.676616
539	1304.624853
540	1304.609235
541	1304.582097
542	1304.549621
543	1304.516191
544	1304.49535
545	1304.474801
546	1304.449769
547	1304.418158
548	1304.387965
549	1304.349161
550	1304.310999
551	1304.287147
552	1304.258767
553	1304.240762
554	1304.218835
555	1304.196591
556	1304.17443
557	1304.147526
558	1304.126434
559	1304.101721
560	1304.077463
561	1304.062002
562	1304.040504
563	1304.015612
564	1303.997545
565	1303.981052
566	1303.950866
567	1303.929834
568	1303.90829
569	1303.870228
570	1303.842993
571	1303.820452
572	1303.797981
573	1303.781043
574	1303.745485
575	1303.707287
576	1303.682325
577	1303.657678
578	1303.630175
579	1303.595628
580	1303.571006
581	1303.550979
582	1303.531443
583	1303.515334
584	1303.473947
585	1303.458374
586	1303.427023
587	1303.410097
588	1303.389357
589	1303.358151
590	1303.33424
591	1303.314686
592	1303.278001
593	1303.262918
594	1303.228354
595	1303.211136
596	1303.189383
597	1303.134793
598	1303.100251
599	1303.084747
600	1303.055778
601	1303.023691
602	1303.0033
603	1302.987965
604	1302.971808
605	1302.948624
606	1302.905932
607	1302.88251
608	1302.871509
609	1302.842448
610	1302.794264
611	1302.756338
612	1302.723139
613	1302.691925
614	1302.670413
615	1302.645848
616	1302.617201
617	1302.596625
618	1302.56923
619	1302.550141
620	1302.536436
621	1302.496893
622	1302.451905
623	1302.441399
624	1302.403365
625	1302.382771
626	1302.364242
627	1302.336705
628	1302.323792
629	1302.29959
630	1302.270995
631	1302.242644
632	1302.218848
633	1302.179453
634	1302.165692
635	1302.144097
636	1302.106922
637	1302.082813
638	1302.035366
639	1301.999645
640	1301.969269
641	1301.950875
642	1301.933868
643	1301.91078
644	1301.89557
645	1301.874802
646	1301.858174
647	1301.815797
648	1301.793933
649	1301.767018
650	1301.733369
651	1301.704741
652	1301.685021
653	1301.664694
654	1301.647427
655	1301.621349
656	1301.608973
657	1301.601596
658	1301.575696
659	1301.560578
660	1301.535299
661	1301.518992
662	1301.501252
663	1301.472236
664	1301.450738
665	1301.413168
666	1301.371989
667	1301.352961
668	1301.332514
669	1301.313398
670	1301.2933
671	1301.268591
672	1301.23833
673	1301.223575
674	1301.204707
675	1301.183768
676	1301.172276
677	1301.14547
678	1301.124168
679	1301.101675
680	1301.092591
681	1301.076482
682	1301.052851
683	1301.003498
684	1300.966547
685	1300.943362
686	1300.927303
687	1300.897474
688	1300.885482
689	1300.864687
690	1300.843418
691	1300.815112
692	1300.779112
693	1300.757437
694	1300.739697
695	1300.709221
696	1300.684356
697	1300.654864
698	1300.632114
699	1300.617981
700	1300.590916
701	1300.571637
702	1300.549329
703	1300.533934
704	1300.519421
705	1300.500476
706	1300.489584
707	1300.452214
708	1300.431576
709	1300.417988
710	1300.40581
711	1300.380812
712	1300.349134
713	1300.331695
714	1300.30537
715	1300.279476
716	1300.258334
717	1300.233133
718	1300.213089
719	1300.195669
720	1300.173305
721	1300.156939
722	1300.140127
723	1300.115857
724	1300.103669
725	1300.077342
726	1300.055709
727	1300.033335
728	1300.020675
729	1299.982991
730	1299.965962
731	1299.931525
732	1299.916016
733	1299.891562
734	1299.854742
735	1299.835881
736	1299.808349
737	1299.782843
738	1299.771121
739	1299.763073
740	1299.734981
741	1299.707049
742	1299.683702
743	1299.671181
744	1299.651116
745	1299.619856
746	1299.590242
747	1299.569055
748	1299.540047
749	1299.532168
750	1299.523645
751	1299.508538
752	1299.497194
753	1299.468124
754	1299.44481
755	1299.427409
756	1299.41391
757	1299.394529
758	1299.379381
759	1299.360706
760	1299.344074
761	1299.322632
762	1299.303258
763	1299.266785
764	1299.246865
765	1299.230458
766	1299.214953
767	1299.192614
768	1299.183048
769	1299.163262
770	1299.146544
771	1299.126868
772	1299.105628
773	1299.091236
774	1299.059589
775	1299.042036
776	1299.033222
777	1299.018367
778	1299.007074
779	1298.977787
780	1298.956395
781	1298.931826
782	1298.890092
783	1298.878262
784	1298.866699
785	1298.844603
786	1298.816188
787	1298.789343
788	1298.760923
789	1298.747455
790	1298.726738
791	1298.709333
792	1298.687211
793	1298.67431
794	1298.642937
795	1298.617167
796	1298.603636
797	1298.571405
798	1298.556095
799	1298.541389
800	1298.523221
801	1298.495633
802	1298.462514
803	1298.421151
804	1298.393648
805	1298.378417
806	1298.356433
807	1298.33953
808	1298.328839
809	1298.30549
810	1298.283544
811	1298.26965
812	1298.248231
813	1298.218793
814	1298.191285
815	1298.167472
816	1298.145473
817	1298.137322
818	1298.108047
819	1298.081957
820	1298.06455
821	1298.049619
822	1298.029846
823	1298.002683
824	1297.980378
825	1297.963248
826	1297.940403
827	1297.900138
828	1297.886184
829	1297.870594
830	1297.844939
831	1297.833892
832	1297.794826
833	1297.770666
834	1297.756196
835	1297.723391
836	1297.708487
837	1297.691921
838	1297.666383
839	1297.644225
840	1297.617724
841	1297.601402
842	1297.562443
843	1297.545491
844	1297.526239
845	1297.503514
846	1297.492128
847	1297.479978
848	1297.456076
849	1297.430787
850	1297.419481
851	1297.399802
852	1297.379369
853	1297.351669
854	1297.326126
855	1297.306912
856	1297.281922
857	1297.267814
858	1297.238579
859	1297.206921
860	1297.190762
861	1297.173991
862	1297.151276
863	1297.135604
864	1297.108666
865	1297.077823
866	1297.065865
867	1297.060536
868	1297.03147
869	1297.013455
870	1296.990868
871	1296.976377
872	1296.963864
873	1296.936712
874	1296.911571
875	1296.892061
876	1296.879043
877	1296.844898
878	1296.831712
879	1296.813553
880	1296.794001
881	1296.774527
882	1296.765004
883	1296.745029
884	1296.727826
885	1296.705828
886	1296.695968
887	1296.659908
888	1296.640678
889	1296.628496
890	1296.612241
891	1296.599061
892	1296.587341
893	1296.578777
894	1296.56241
895	1296.541035
896	1296.513716
897	1296.501649
898	1296.487856
899	1296.478391
900	1296.463387
901	1296.435215
902	1296.411588
903	1296.384486
904	1296.358166
905	1296.334995
906	1296.308302
907	1296.28694
908	1296.278629
909	1296.261959
910	1296.240627
911	1296.225594
912	1296.209076
913	1296.20024
914	1296.182641
915	1296.174467
916	1296.157084
917	1296.128678
918	1296.105356
919	1296.088023
920	1296.071613
921	1296.053529
922	1296.034077
923	1296.014543
924	1295.996283
925	1295.977823
926	1295.957989
927	1295.943415
928	1295.924347
929	1295.895151
930	1295.877233
931	1295.849071
932	1295.817968
933	1295.801731
934	1295.793557
935	1295.781846
936	1295.765008
937	1295.757553
938	1295.743311
939	1295.719254
940	1295.708198
941	1295.690799
942	1295.659207
943	1295.651028
944	1295.637236
945	1295.626009
946	1295.618202
947	1295.604855
948	1295.599209
949	1295.579778
950	1295.558145
951	1295.543807
952	1295.528109
953	1295.512939
954	1295.49024
955	1295.46738
956	1295.448575
957	1295.418815
958	1295.403071
959	1295.383983
960	1295.367857
961	1295.35513
962	1295.336458
963	1295.328488
964	1295.31727
965	1295.291739
966	1295.27241
967	1295.263254
968	1295.239252
969	1295.217841
970	1295.192884
971	1295.174598
972	1295.158128
973	1295.144523
974	1295.127432
975	1295.109222
976	1295.08955
977	1295.073288
978	1295.053733
979	1295.037435
980	1295.021022
981	1294.999634
982	1294.973081
983	1294.957017
984	1294.936236
985	1294.914128
986	1294.89656
987	1294.877045
988	1294.864338
989	1294.85207
990	1294.829088
991	1294.805162
992	1294.782347
993	1294.764973
994	1294.75248
995	1294.741493
996	1294.726332
997	1294.709577
998	1294.697189
999	1294.681761
